Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.app.App,33504002,3.35.5-1,en,OP515BL1,2024-03-13T10:19:22Z,1705677506000,2024-03-13T10:19:22Z,1705677506000,5,Bra,Bra,2024-01-09T08:49:52Z,1714815879000,Not election figure Mrs office.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.4-3,en,Pixel 5,2024-02-12T01:37:17Z,1710560447000,2024-02-12T01:37:17Z,1710560447000,1,,Usel synkning.,2024-02-10T06:21:29Z,1713252424000,Network option your open ask likely quite account.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.5-1,en,OP515BL1,2024-04-06T19:35:03Z,1713326437000,2024-04-06T19:35:03Z,1713326437000,2,,Practice share writer once structure those evening well explain sell anyone program your will.,2024-02-08T22:27:28Z,1704579914000,Detail past it race their drive beyond relationship base.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.4-3,en,SM-G991B,2024-02-01T18:15:08Z,1711839071000,2024-02-01T18:15:08Z,1711839071000,3,,Notifications don’t clear automatically. It’s annoying to manually clear them every time,2024-02-10T18:25:23Z,1707393461000,Plan someone where drop evening particularly risk fight.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.4-3,en,OP515BL1,2024-04-02T18:10:06Z,1706177355000,2024-04-02T18:10:06Z,1706177355000,2,,"Okomplicerat, men buggy",2024-01-09T05:31:24Z,1706481070000,Keep sometimes religious walk interest.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.4-3,en,Pixel 5,2024-03-07T22:06:45Z,1705292952000,2024-03-07T22:06:45Z,1705292952000,2,,Building drug become back doctor then mission four result until fact lose coach.,2024-01-19T17:31:12Z,1707287060000,Common wide follow current citizen light or.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.4-3,en,OP515BL1,2024-02-11T20:57:55Z,1707728008000,2024-02-11T20:57:55Z,1707728008000,3,,"Loading times are excessively long, even on a good connection.",2024-03-26T08:43:30Z,1706165243000,Mr story price manager response price.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.4-3,sv,OP515BL1,2024-02-12T10:53:57Z,1710417003000,2024-02-12T10:53:57Z,1710417003000,1,Dålig,Inte tillförlitlig,2024-02-28T16:36:36Z,1712458120000,Discussion rise appear compare mention customer first.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.5-1,sv,SM-G991B,2024-03-17T03:35:41Z,1704816062000,2024-03-17T03:35:41Z,1704816062000,4,Crashes,The mobile app crashes when switching between accounts. Very frustrating when managing multiple businesses.,2024-01-23T17:10:03Z,1705809007000,Their success recognize candidate worry idea.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.4-3,en,SM-G991B,2024-02-20T10:18:58Z,1713733491000,2024-02-20T10:18:58Z,1713733491000,4,,Medelmåttigt,2024-02-20T17:00:26Z,1714061849000,College center drug grow least seven person else.,http://play.google.com/fakelink/developers
